"","COUNTY_CODE","DISTRICT_CODE","SCHOOL_CODE","year","COUNTY_NAME","DISTRICT_NAME","SCHOOL_NAME","prfadv.math","prfadv.read"
"53",1,1940,120,2012,"ATLANTIC  ","HAMILTON TWP","WILLIAM DAVIES MIDDLE SCH",69,67.3
"54",1,1940,120,2013,"ATLANTIC  ","HAMILTON TWP","WILLIAM DAVIES MIDDLE SCH",69.4,65.3
"55",1,1940,120,2014,"ATLANTIC  ","HAMILTON TWP","WILLIAM DAVIES MIDDLE SCH",71.3,68
"56",1,1960,60,2012,"ATLANTIC  ","HAMMONTON TOWN","HAMMONTON MIDDLE SCH     ",75,65.7
"57",1,1960,60,2013,"ATLANTIC  ","HAMMONTON TOWN","HAMMONTON MIDDLE SCH     ",79.3,71
"58",1,1960,60,2014,"ATLANTIC  ","HAMMONTON TOWN","HAMMONTON MIDDLE SCH     ",81.4,75
"59",1,2680,20,2012,"ATLANTIC  ","LINWOOD CITY","BELHAVEN MIDDLE SCH      ",89,89.3
"60",1,2680,20,2013,"ATLANTIC  ","LINWOOD CITY","BELHAVEN MIDDLE SCH      ",89.8,92.2
"61",1,2680,20,2014,"ATLANTIC  ","LINWOOD CITY","BELHAVEN MIDDLE SCH      ",92,89.7
"62",1,3020,10,2012,"ATLANTIC  ","MARGATE CITY","EUGENE A TIGHE MID SCH   ",87.5,83
"63",1,3020,10,2013,"ATLANTIC  ","MARGATE CITY","EUGENE A TIGHE MID SCH   ",79.7,86.2
"64",1,3020,10,2014,"ATLANTIC  ","MARGATE CITY","EUGENE A TIGHE MID SCH   ",87.8,88.6
"65",1,3480,25,2012,"ATLANTIC  ","MULLICA TWP","MULLICA TWP MIDDLE       ",82.6,74.5
"66",1,3480,25,2013,"ATLANTIC  ","MULLICA TWP","MULLICA TWP MIDDLE       ",80.5,70.5
"67",1,3480,25,2014,"ATLANTIC  ","MULLICA TWP","MULLICA TWP MIDDLE       ",77.8,71
"68",1,3720,56,2012,"ATLANTIC  ","NORTHFIELD CITY","NORTHFIELD COMMUNITY M S ",80.7,75.8
"69",1,3720,56,2013,"ATLANTIC  ","NORTHFIELD CITY","NORTHFIELD COMMUNITY M S ",77.3,75
"70",1,3720,56,2014,"ATLANTIC  ","NORTHFIELD CITY","NORTHFIELD COMMUNITY M S ",78.3,70.7
"71",1,4180,55,2012,"ATLANTIC  ","PLEASANTVILLE","PLEASANTVILLE MIDDLE SCH ",46.6,37.7
"72",1,4180,55,2013,"ATLANTIC  ","PLEASANTVILLE","PLEASANTVILLE MIDDLE SCH ",48.7,39
"73",1,4180,55,2014,"ATLANTIC  ","PLEASANTVILLE","PLEASANTVILLE MIDDLE SCH ",40.7,37.6
"74",1,4240,50,2012,"ATLANTIC  ","PORT REPUBLIC CITY","PORT REPUBLIC ELEM SCH   ",87,78.4
"75",1,4240,50,2013,"ATLANTIC  ","PORT REPUBLIC CITY","PORT REPUBLIC ELEM SCH   ",91.2,75.5
"76",1,4240,50,2014,"ATLANTIC  ","PORT REPUBLIC CITY","PORT REPUBLIC ELEM SCH   ",78,70.7
"77",1,4800,55,2012,"ATLANTIC  ","SOMERS POINT CITY","JORDAN RD ELEM SCH       ",57.1,51
"78",1,4800,55,2013,"ATLANTIC  ","SOMERS POINT CITY","JORDAN RD ELEM SCH       ",57.5,53.1
"79",1,4800,55,2014,"ATLANTIC  ","SOMERS POINT CITY","JORDAN RD ELEM SCH       ",54.1,47.2
"80",1,5350,40,2012,"ATLANTIC  ","VENTNOR CITY","VENTNOR MIDDLE SCHOOL    ",69.5,67
"81",1,5350,40,2013,"ATLANTIC  ","VENTNOR CITY","VENTNOR MIDDLE SCHOOL    ",71,70
"82",1,5350,40,2014,"ATLANTIC  ","VENTNOR CITY","VENTNOR MIDDLE SCHOOL    ",77,72.2
"83",1,5350,45,2012,"ATLANTIC  ","VENTNOR CITY","VENTOR E.S. ",60,52.5
"84",1,5350,45,2013,"ATLANTIC  ","VENTNOR CITY","VENTOR E.S. ",68,55
"85",1,5350,45,2014,"ATLANTIC  ","VENTNOR CITY","VENTOR E.S. ",61.5,55.5
"86",1,5760,20,2012,"ATLANTIC  ","WEYMOUTH TWP","WEYMOUTH TWP ELEM        ",80,67.5
"87",1,5760,20,2013,"ATLANTIC  ","WEYMOUTH TWP","WEYMOUTH TWP ELEM        ",75.7,65.9
"88",1,5760,20,2014,"ATLANTIC  ","WEYMOUTH TWP","WEYMOUTH TWP ELEM        ",79.7,67.5
"89",3,40,10,2012,"BERGEN    ","ALLENDALE BORO","BROOKSIDE                ",94.4,87.2
"90",3,40,10,2013,"BERGEN    ","ALLENDALE BORO","BROOKSIDE                ",93.8,89.8
"91",3,40,10,2014,"BERGEN    ","ALLENDALE BORO","BROOKSIDE                ",96,91.4
"92",3,80,10,2012,"BERGEN    ","ALPINE BORO","ALPINE ELEM              ",97,94.4
"93",3,80,10,2013,"BERGEN    ","ALPINE BORO","ALPINE ELEM              ",96.8,92.8
"94",3,80,10,2014,"BERGEN    ","ALPINE BORO","ALPINE ELEM              ",93.8,88.8
"95",3,300,75,2012,"BERGEN    ","BERGENFIELD","ROY W BROWN MIDDLE       ",76.7,71.3
"96",3,300,75,2013,"BERGEN    ","BERGENFIELD","ROY W BROWN MIDDLE       ",73.5,76
"97",3,300,75,2014,"BERGEN    ","BERGENFIELD","ROY W BROWN MIDDLE       ",79.6,71.7
"98",3,440,20,2012,"BERGEN    ","BOGOTA","BOGOTA HIGH              ",62.5,67.5
"99",3,440,20,2013,"BERGEN    ","BOGOTA","BOGOTA HIGH              ",54,62.5
"100",3,440,20,2014,"BERGEN    ","BOGOTA","BOGOTA HIGH              ",51,72
"101",3,740,50,2012,"BERGEN    ","CARLSTADT BORO","CARLSTADT",78.3,65.8
"102",3,740,50,2013,"BERGEN    ","CARLSTADT BORO","CARLSTADT",78.7,68.5
"103",3,740,50,2014,"BERGEN    ","CARLSTADT BORO","CARLSTADT",78.2,67
"104",3,890,50,2012,"BERGEN    ","CLIFFSIDE PARK","NUMBER 3                 ",83.3,70.7
"105",3,890,50,2013,"BERGEN    ","CLIFFSIDE PARK","NUMBER 3                 ",77.3,67
"106",3,890,50,2014,"BERGEN    ","CLIFFSIDE PARK","NUMBER 3                 ",71.7,64
"107",3,890,80,2012,"BERGEN    ","CLIFFSIDE PARK","NUMBER 6                 ",79.4,68.2
"108",3,890,80,2013,"BERGEN    ","CLIFFSIDE PARK","NUMBER 6                 ",75.4,73.1
"109",3,890,80,2014,"BERGEN    ","CLIFFSIDE PARK","NUMBER 6                 ",77.7,67.1
"110",3,930,50,2012,"BERGEN    ","CLOSTER BORO","HILLSIDE ELEMENTARY SCHOOL ",97.5,93
"111",3,930,50,2013,"BERGEN    ","CLOSTER BORO","HILLSIDE ELEMENTARY SCHOOL ",92,86.5
"112",3,930,50,2014,"BERGEN    ","CLOSTER BORO","HILLSIDE ELEMENTARY SCHOOL ",90.5,85.5
"113",3,930,60,2012,"BERGEN    ","CLOSTER BORO","TENAKILL M.S.            ",85.7,83
"114",3,930,60,2013,"BERGEN    ","CLOSTER BORO","TENAKILL M.S.            ",90.7,90.5
"115",3,930,60,2014,"BERGEN    ","CLOSTER BORO","TENAKILL M.S.            ",92.7,93.7
"116",3,990,45,2012,"BERGEN    ","CRESSKILL","CRESSKILL MIDDLE SCH ",85,87
"117",3,990,45,2013,"BERGEN    ","CRESSKILL","CRESSKILL MIDDLE SCH ",87.3,88.3
"118",3,990,45,2014,"BERGEN    ","CRESSKILL","CRESSKILL MIDDLE SCH ",90.4,91.7
"119",3,1070,40,2012,"BERGEN    ","DEMAREST BORO","DEMAREST MIDDLE          ",93,92
"120",3,1070,40,2013,"BERGEN    ","DEMAREST BORO","DEMAREST MIDDLE          ",92.8,91.5
"121",3,1070,40,2014,"BERGEN    ","DEMAREST BORO","DEMAREST MIDDLE          ",93,90.2
"122",3,1130,60,2012,"BERGEN    ","DUMONT","HONISS                   ",90.3,80.7
"123",3,1130,60,2013,"BERGEN    ","DUMONT","HONISS                   ",90.5,80.5
"124",3,1130,60,2014,"BERGEN    ","DUMONT","HONISS                   ",85.4,78.5
"125",3,1130,80,2012,"BERGEN    ","DUMONT","CHARLES A. SELZER        ",90.8,83.4
"126",3,1130,80,2013,"BERGEN    ","DUMONT","CHARLES A. SELZER        ",87.8,79.5
"127",3,1130,80,2014,"BERGEN    ","DUMONT","CHARLES A. SELZER        ",87.9,78
"128",3,1230,40,2012,"BERGEN    ","EAST RUTHERFORD BORO","ALFRED S. FAUST          ",79.4,70.7
"129",3,1230,40,2013,"BERGEN    ","EAST RUTHERFORD BORO","ALFRED S. FAUST          ",76,71.8
"130",3,1230,40,2014,"BERGEN    ","EAST RUTHERFORD BORO","ALFRED S. FAUST          ",73,69.7
"131",3,1345,60,2012,"BERGEN    ","ELMWOOD PARK","MIDDLE SCHOOL            ",52.5,63.5
"132",3,1345,60,2013,"BERGEN    ","ELMWOOD PARK","MIDDLE SCHOOL            ",56.7,63.7
"133",3,1345,60,2014,"BERGEN    ","ELMWOOD PARK","MIDDLE SCHOOL            ",63.3,66.3
"134",3,1360,50,2012,"BERGEN    ","EMERSON","EMERSON JR SR HIGH       ",74.5,81.5
"135",3,1360,50,2013,"BERGEN    ","EMERSON","EMERSON JR SR HIGH       ",83.5,93
"136",3,1360,50,2014,"BERGEN    ","EMERSON","EMERSON JR SR HIGH       ",80,83
"137",3,1370,76,2012,"BERGEN    ","ENGLEWOOD CITY","J.E. DISMUS MIDDLE       ",37.5,53.5
"138",3,1370,76,2013,"BERGEN    ","ENGLEWOOD CITY","J.E. DISMUS MIDDLE       ",30.5,52.5
"139",3,1370,76,2014,"BERGEN    ","ENGLEWOOD CITY","J.E. DISMUS MIDDLE       ",39.5,59
"140",3,1380,60,2012,"BERGEN    ","ENGLEWOOD CLIFFS BORO","UPPER SCHOOL             ",95.9,89.3
"141",3,1380,60,2013,"BERGEN    ","ENGLEWOOD CLIFFS BORO","UPPER SCHOOL             ",93.5,85.9
"142",3,1380,60,2014,"BERGEN    ","ENGLEWOOD CLIFFS BORO","UPPER SCHOOL             ",93.4,89.3
"143",3,1450,60,2012,"BERGEN    ","FAIR LAWN","THOMAS JEFFERSON MIDDLE  ",86.4,86.3
"144",3,1450,60,2013,"BERGEN    ","FAIR LAWN","THOMAS JEFFERSON MIDDLE  ",85,84.6
"145",3,1450,60,2014,"BERGEN    ","FAIR LAWN","THOMAS JEFFERSON MIDDLE  ",88,86.3
"146",3,1450,70,2012,"BERGEN    ","FAIR LAWN","MEMORIAL MIDDLE SCHOOL   ",78.6,84
"147",3,1450,70,2013,"BERGEN    ","FAIR LAWN","MEMORIAL MIDDLE SCHOOL   ",82.3,85.7
"148",3,1450,70,2014,"BERGEN    ","FAIR LAWN","MEMORIAL MIDDLE SCHOOL   ",81.4,82
"149",3,1470,60,2012,"BERGEN    ","FAIRVIEW BORO","LINCOLN                  ",78.4,59.2
"150",3,1470,60,2013,"BERGEN    ","FAIRVIEW BORO","LINCOLN                  ",70.6,55.8
"151",3,1470,60,2014,"BERGEN    ","FAIRVIEW BORO","LINCOLN                  ",64.6,55.8
"152",3,1550,100,2012,"BERGEN    ","FORT LEE","LEWIS F. COLE MIDDLE     ",82.5,83
"153",3,1550,100,2013,"BERGEN    ","FORT LEE","LEWIS F. COLE MIDDLE     ",79.5,82.5
"154",3,1550,100,2014,"BERGEN    ","FORT LEE","LEWIS F. COLE MIDDLE     ",83.5,86
"155",3,1580,15,2012,"BERGEN    ","FRANKLIN LAKES BORO","FRANKLIN AVE MIDDLE SCH  ",87.4,90.7
"156",3,1580,15,2013,"BERGEN    ","FRANKLIN LAKES BORO","FRANKLIN AVE MIDDLE SCH  ",86,90.6
"157",3,1580,15,2014,"BERGEN    ","FRANKLIN LAKES BORO","FRANKLIN AVE MIDDLE SCH  ",88.7,90
"158",3,1700,70,2012,"BERGEN    ","GARFIELD","GARFIELD MIDDLE SCH",67.3,58.3
"159",3,1700,70,2013,"BERGEN    ","GARFIELD","GARFIELD MIDDLE SCH",71.6,65
"160",3,1700,70,2014,"BERGEN    ","GARFIELD","GARFIELD MIDDLE SCH",79,64.7
"161",3,1760,60,2012,"BERGEN    ","GLEN ROCK","GLEN ROCK MIDDLE SCH     ",91,89.3
"162",3,1760,60,2013,"BERGEN    ","GLEN ROCK","GLEN ROCK MIDDLE SCH     ",92.7,91
"163",3,1760,60,2014,"BERGEN    ","GLEN ROCK","GLEN ROCK MIDDLE SCH     ",95,92.4
"164",3,1860,300,2012,"BERGEN    ","HACKENSACK","MIDDLE SCHOOL            ",67,54.7
"165",3,1860,300,2013,"BERGEN    ","HACKENSACK","MIDDLE SCHOOL            ",62,55
"166",3,1860,300,2014,"BERGEN    ","HACKENSACK","MIDDLE SCHOOL            ",63.3,53.7
"167",3,2050,50,2012,"BERGEN    ","HARRINGTON PARK BORO","HARRINGTON PARK          ",89.7,83.2
"168",3,2050,50,2013,"BERGEN    ","HARRINGTON PARK BORO","HARRINGTON PARK          ",91.2,88.5
"169",3,2050,50,2014,"BERGEN    ","HARRINGTON PARK BORO","HARRINGTON PARK          ",92.7,87.3
"170",3,2080,55,2012,"BERGEN    ","HASBROUCK HEIGHTS","HASBROUCK HEIGHTS MIDDLE ",81,76
"171",3,2080,55,2013,"BERGEN    ","HASBROUCK HEIGHTS","HASBROUCK HEIGHTS MIDDLE ",77.4,74.3
"172",3,2080,55,2014,"BERGEN    ","HASBROUCK HEIGHTS","HASBROUCK HEIGHTS MIDDLE ",75.3,67
"173",3,2090,50,2012,"BERGEN    ","HAWORTH BORO","HAWORTH                  ",89,87.6
"174",3,2090,50,2013,"BERGEN    ","HAWORTH BORO","HAWORTH                  ",90,87.3
"175",3,2090,50,2014,"BERGEN    ","HAWORTH BORO","HAWORTH                  ",91.4,88.3
"176",3,2180,20,2012,"BERGEN    ","HILLSDALE BORO","GEORGE G WHITE           ",83.3,84.8
"177",3,2180,20,2013,"BERGEN    ","HILLSDALE BORO","GEORGE G WHITE           ",80.7,83.2
"178",3,2180,20,2014,"BERGEN    ","HILLSDALE BORO","GEORGE G WHITE           ",78.5,84
"179",3,2200,50,2012,"BERGEN    ","HO HO KUS BORO","HO-HO-KUS                ",94.5,88.2
"180",3,2200,50,2013,"BERGEN    ","HO HO KUS BORO","HO-HO-KUS                ",90.8,88.2
"181",3,2200,50,2014,"BERGEN    ","HO HO KUS BORO","HO-HO-KUS                ",89.7,90
"182",3,2620,55,2012,"BERGEN    ","LEONIA","LEONIA MIDDLE            ",83.7,82
"183",3,2620,55,2013,"BERGEN    ","LEONIA","LEONIA MIDDLE            ",86.3,82.4
"184",3,2620,55,2014,"BERGEN    ","LEONIA","LEONIA MIDDLE            ",84.7,85.3
"185",3,2710,30,2012,"BERGEN    ","LITTLE FERRY BORO","MEMORIAL                 ",77.7,74.2
"186",3,2710,30,2013,"BERGEN    ","LITTLE FERRY BORO","MEMORIAL                 ",70,70
"187",3,2710,30,2014,"BERGEN    ","LITTLE FERRY BORO","MEMORIAL                 ",71.6,71.7
"188",3,2740,67,2012,"BERGEN    ","LODI","THOMAS JEFFERSON MID SCH ",69.6,67
"189",3,2740,67,2013,"BERGEN    ","LODI","THOMAS JEFFERSON MID SCH ",63,67
"190",3,2740,67,2014,"BERGEN    ","LODI","THOMAS JEFFERSON MID SCH ",64.3,64
"191",3,2860,70,2012,"BERGEN    ","LYNDHURST TOWNSHIP","FRANKLIN                 ",78.8,63.6
"192",3,2860,70,2013,"BERGEN    ","LYNDHURST TOWNSHIP","FRANKLIN                 ",67,59
"193",3,2860,70,2014,"BERGEN    ","LYNDHURST TOWNSHIP","FRANKLIN                 ",67,71
"194",3,2860,80,2012,"BERGEN    ","LYNDHURST TOWNSHIP","JEFFERSON                ",75,65.9
"195",3,2860,80,2013,"BERGEN    ","LYNDHURST TOWNSHIP","JEFFERSON                ",67.2,62.6
"196",3,2860,80,2014,"BERGEN    ","LYNDHURST TOWNSHIP","JEFFERSON                ",65.2,64.8
"197",3,2860,90,2012,"BERGEN    ","LYNDHURST TOWNSHIP","LINCOLN                  ",74.4,68.8
"198",3,2860,90,2013,"BERGEN    ","LYNDHURST TOWNSHIP","LINCOLN                  ",67,61.6
"199",3,2860,90,2014,"BERGEN    ","LYNDHURST TOWNSHIP","LINCOLN                  ",70.4,62.2
"200",3,2860,110,2012,"BERGEN    ","LYNDHURST TOWNSHIP","ROOSEVELT                ",72.7,65.5
"201",3,2860,110,2013,"BERGEN    ","LYNDHURST TOWNSHIP","ROOSEVELT                ",73.8,63.4
"202",3,2860,110,2014,"BERGEN    ","LYNDHURST TOWNSHIP","ROOSEVELT                ",69.8,68.4
"203",3,2900,76,2012,"BERGEN    ","MAHWAH TOWNSHIP","RAMAPO RIDGE             ",88,90
"204",3,2900,76,2013,"BERGEN    ","MAHWAH TOWNSHIP","RAMAPO RIDGE             ",89.3,89
"205",3,2900,76,2014,"BERGEN    ","MAHWAH TOWNSHIP","RAMAPO RIDGE             ",89.3,87.7
"206",3,3060,60,2012,"BERGEN    ","MAYWOOD BORO","MAYWOOD AVE              ",84,79
"207",3,3060,60,2013,"BERGEN    ","MAYWOOD BORO","MAYWOOD AVE              ",85,79.2
"208",3,3060,60,2014,"BERGEN    ","MAYWOOD BORO","MAYWOOD AVE              ",86,81
"209",3,3170,50,2012,"BERGEN    ","MIDLAND PARK BOROUGH","MIDLAND PARK HIGH        ",85,92
"210",3,3170,50,2013,"BERGEN    ","MIDLAND PARK BOROUGH","MIDLAND PARK HIGH        ",81,93
"211",3,3170,50,2014,"BERGEN    ","MIDLAND PARK BOROUGH","MIDLAND PARK HIGH        ",76.5,82.5
"212",3,3330,20,2012,"BERGEN    ","MONTVALE BORO","FIELDSTONE MIDDLE        ",91.4,86.8
"213",3,3330,20,2013,"BERGEN    ","MONTVALE BORO","FIELDSTONE MIDDLE        ",86.5,86.4
"214",3,3330,20,2014,"BERGEN    ","MONTVALE BORO","FIELDSTONE MIDDLE        ",90.8,87.2
"215",3,3350,60,2012,"BERGEN    ","MOONACHIE BORO","ROBERT L CRAIG           ",68,56.5
"216",3,3350,60,2013,"BERGEN    ","MOONACHIE BORO","ROBERT L CRAIG           ",68.5,58.3
"217",3,3350,60,2014,"BERGEN    ","MOONACHIE BORO","ROBERT L CRAIG           ",67.9,50.1
"218",3,3550,85,2012,"BERGEN    ","NEW MILFORD","DAVID E. OWENS M.S.      ",76,83
"219",3,3550,85,2013,"BERGEN    ","NEW MILFORD","DAVID E. OWENS M.S.      ",77,81
"220",3,3550,85,2014,"BERGEN    ","NEW MILFORD","DAVID E. OWENS M.S.      ",77,79.3
"221",3,3600,90,2012,"BERGEN    ","NORTH ARLINGTON","NORTH ARLINGTON M.S.     ",80,75.4
"222",3,3600,90,2013,"BERGEN    ","NORTH ARLINGTON","NORTH ARLINGTON M.S.     ",74.7,77.3
"223",3,3600,90,2014,"BERGEN    ","NORTH ARLINGTON","NORTH ARLINGTON M.S.     ",75.7,78
"224",3,3730,50,2012,"BERGEN    ","NORTHVALE BORO","NORTHVALE PUBLIC SCHOOL           ",79.6,77.4
"225",3,3730,50,2013,"BERGEN    ","NORTHVALE BORO","NORTHVALE PUBLIC SCHOOL           ",84.8,78.1
"226",3,3730,50,2014,"BERGEN    ","NORTHVALE BORO","NORTHVALE PUBLIC SCHOOL           ",79.7,79.8
"227",3,3740,20,2012,"BERGEN    ","NORWOOD BORO","NORWOOD                  ",89.3,83.5
"228",3,3740,20,2013,"BERGEN    ","NORWOOD BORO","NORWOOD                  ",87.5,82.2
"229",3,3740,20,2014,"BERGEN    ","NORWOOD BORO","NORWOOD                  ",87.1,84.3
"230",3,3760,80,2012,"BERGEN    ","OAKLAND BORO","VALLEY MIDDLE            ",84,90
"231",3,3760,80,2013,"BERGEN    ","OAKLAND BORO","VALLEY MIDDLE            ",81.3,88.7
"232",3,3760,80,2014,"BERGEN    ","OAKLAND BORO","VALLEY MIDDLE            ",85.3,89
"233",3,3850,30,2012,"BERGEN    ","OLD TAPPAN BORO","CHARLES DEWOLF           ",93.8,90.6
"234",3,3850,30,2013,"BERGEN    ","OLD TAPPAN BORO","CHARLES DEWOLF           ",89.8,87
"235",3,3850,30,2014,"BERGEN    ","OLD TAPPAN BORO","CHARLES DEWOLF           ",91.8,89.4
"236",3,3850,60,2012,"BERGEN    ","OLD TAPPAN BORO","T. BALDWIN DEMAREST E.S. ",90.5,84
"237",3,3850,60,2013,"BERGEN    ","OLD TAPPAN BORO","T. BALDWIN DEMAREST E.S. ",92.5,85
"238",3,3850,60,2014,"BERGEN    ","OLD TAPPAN BORO","T. BALDWIN DEMAREST E.S. ",92.5,88.5
"239",3,3910,50,2012,"BERGEN    ","PALISADES PARK","PALISADES PARK JR-SR HIGH",69,82
"240",3,3910,50,2013,"BERGEN    ","PALISADES PARK","PALISADES PARK JR-SR HIGH",70,85
"241",3,3910,50,2014,"BERGEN    ","PALISADES PARK","PALISADES PARK JR-SR HIGH",68,78
"242",3,3910,70,2012,"BERGEN    ","PALISADES PARK","LINDBERGH                ",81.8,61.8
"243",3,3910,70,2013,"BERGEN    ","PALISADES PARK","LINDBERGH                ",82.2,65.2
"244",3,3910,70,2014,"BERGEN    ","PALISADES PARK","LINDBERGH                ",83.8,65.8
